,title,abstract,refers
308,Evidentiality-guided Generation for Knowledge-Intensive NLP Tasks,"Retrieval-augmented generation models have shown state-of-the-art performance across
many knowledge-intensive NLP tasks such as open question answering and fact …",2회 인용
309,Adaptive Posterior Knowledge Selection for Improving Knowledge-Grounded Dialogue Generation,"In open-domain dialogue systems, knowledge information such as unstructured persona
profiles, text descriptions and structured knowledge graph can help incorporate abundant …",관련 학술자료
310,[PDF] A Survey of Customer Service System Based on Learning,"With the rapid development of artificial intelligence, people have moved from manual
customer service to handling affairs, and now they are more inclined to use intelligent …",관련 학술자료
311,[인용] The Second Conversational Intelligence Challenge (ConvAI2),,관련 학술자료
312,Virtual Companion for the Elderly: Conceptual Framework,"As the proportion of global elderly population increases, there is an accompanying demand
for improved care for ageing individuals. Technological developments in fields of machine …",관련 학술자료
313,Towards Large-Scale Interpretable Knowledge Graph Reasoning for Dialogue Systems,"Users interacting with voice assistants today need to phrase their requests in a very specific
manner to elicit an appropriate response. This limits the user experience, and is partly due to …",관련 학술자료
314,[PDF] Empathetic dialogue generation using generation-based models,"Language is considered to be one of the hallmarks of human civilization. The ability to
communicate has led to the development of a remarkable culture that may not exist again …",관련 학술자료
315,"Empirical study on BlenderBot 2.0's errors analysis in terms of model, data and dialogue","Blenderbot 2.0 is a dialogue model representing open domain chatbots by reflecting real-
time information and remembering user information for a long time through an internet …",관련 학술자료
316,PANGUBOT: Efficient Generative Dialogue Pre-training from Pre-trained Language Model,"In this paper, we introduce PANGUBOT, a Chinese pre-trained open-domain dialogue
generation model based on a large pre-trained language model (PLM) PANGU-alpha (Zeng …",관련 학술자료
317,Hierarchical Inductive Transfer for Continual Dialogue Learning,"Pre-trained models have achieved excellent performance on the dialogue task. However, for
the continual increase of online chit-chat scenarios, directly fine-tuning these models for …",관련 학술자료
318,[HTML] Fundamental Exploration of Evaluation Metrics for Persona Characteristics of Text Utterances,"To maintain utterance quality of a persona-aware dialog system, inappropriate utterances for
the persona should be thoroughly filtered. When evaluating the appropriateness of a large …",1회 인용
319,Recent Advances in Retrieval-Augmented Text Generation,"Recently retrieval-augmented text generation has achieved state-of-the-art performance in
many NLP tasks and has attracted increasing attention of the NLP and IR community, this …",전체 2개의 버전
320,[책] Taming the Beast: Learning to Control Neural Conversational Models,"This thesis investigates the controllability of deep learning-based, end-to-end, generative
dialoguesystems in both task-oriented and chit-chat scenarios. In particular, we study the …",관련 학술자료
321,Trends and Future of Digital Personal Assistant,"In this study, we introduce trends in and the future of digital personal assistants. Recently,
digital personal assistants have begun to handle many tasks like humans by communicating …",관련 학술자료
322,[HTML] Order and Learning in Sequential Neural Structured Prediction,"Structured objects such as sets, trees, and sequences appear in a variety of scientific and
industrial domains. Developing machine learning methods that generate these objects is of …",관련 학술자료
323,HybriDialogue: An Information-Seeking Dialogue Dataset Grounded on Tabular and Textual Data,"A pressing challenge in current dialogue systems is to successfully converse with users on
topics with information distributed across different modalities. Previous work in multiturn …",관련 학술자료
324,Commonsense and Named Entity Aware Knowledge Grounded Dialogue Generation,"Grounding dialogue on external knowledge and interpreting linguistic patterns in dialogue
history context, such as ellipsis, anaphora, and co-references is critical for dialogue …",관련 학술자료
325,Effectively Incorporating Knowledge in Open-Domain Dialogue Generation,"Dialogue generation is one of the most important parts in the dialogue system. Generating
useful and informative responses in conversation has become a research hotspot. Previous …",관련 학술자료
326,[HTML] Investigating person-specific errors in chat-oriented dialogue systems,"Creating chatbots to behave like real people is important in terms of believability. Errors in
general chatbots and chatbots that follow a rough persona have been studied, but those in …",관련 학술자료
327,[HTML] Knowledge Modelling for Establishment of Common Ground in Dialogue Systems,"The establishment and maintenance of common ground, ie mutual knowledge, beliefs and
assumptions, is important for dialogue systems in order to be seen as valid interlocutors in …",관련 학술자료
328,Deep Learning for Dialogue Systems: Chit-Chat and Beyond,"With the rapid progress of deep neural models and the explosion of available data
resources, dialogue systems that supports extensive topics and chit-chat conversations are …",전체 3개의 버전
329,[PDF] An Unsupervised Approach to Automatic Response Generation for Conversational e-Commerce Agents using Monte Carlo Tree Search,"Conversational e-commerce agents often generate responses based on templates that are
instantiated using slots. Such systems are therefore unable to entertain the users way of …",관련 학술자료
330,SimKGC: Simple Contrastive Knowledge Graph Completion with Pre-trained Language Models,"Knowledge graph completion (KGC) aims to reason over known facts and infer the missing
links. Text-based methods such as KGBERT (Yao et al., 2019) learn entity representations …",관련 학술자료
331,Deep learning for video-grounded dialogue systems,"In recent years, we have witnessed significant progress in building systems with artificial
intelligence. However, despite advancements in machine learning and deep learning, we …",
332,[PDF] QTMM2012c+: A Queryable Empirically-grounded Resource of Dialogue with Argumentation.,"This paper introduces QTMM2012c+, a resource which links relations between propositions
(inference, conflict and rephrase) to dialogue act sequences. QTMM2012c+ builds on the …",관련 학술자료
333,OpenQA: Hybrid QA System Relying on Structured Knowledge Base as well as Non-structured Data,"Search engines based on keyword retrieval can no longer adapt to the way of information
acquisition in the era of intelligent Internet of Things due to the return of keyword related …",관련 학술자료
334,[PDF] Text Generation with and without Retrieval,"Every day we write---from sending your mother a quick text to drafting a scientific article such
as this thesis. The writing we do often goes hand-in-hand with automated assistance. For …",관련 학술자료
335,[PDF] Counter Narrative Generation for Fighting Online Hate Speech,"Studies on online hate speech have mostly focused on the automated detection of harmful
messages. Still, tackling hate speech in the standard way of content moderation may be …",
336,[PDF] Dialog policy optimization for low resource setting using Self-play and Reward based Sampling,"Reinforcement Learning is considered as the state of the art approach for dialogue policy
optimization in task-oriented dialogue systems. However, these models demand a large …",관련 학술자료
337,Classification As Decoder: Trading Flexibility For Control In Neural Dialogue,"Generative seq2seq dialogue systems are trained to predict the next word in dialogues that
have already occurred. They can learn from large unlabeled conversation datasets, build a …",관련 학술자료
338,Semantically Meaningful Sentence Embeddings,"Text embedding is an approach used in Natural Language Processing (NLP) to represent
words, phrases, sentences, and documents. It is the process of obtaining numeric …",관련 학술자료
339,[PDF] Dual Contrastive Learning for Unsupervised Knowledge Selection,"Although dialogue systems based on the Seq2Seq model have achieved success, they
suffer from tending to generate general responses. Recent works have shown that selecting …",
340,Representation learning for dialogue systems,"This thesis presents a series of steps taken towards investigating representation learning
(eg deep learning) for building dialogue systems and conversational agents. The thesis is …",관련 학술자료
341,[HTML] EARL: Informative Knowledge-Grounded Conversation Generation with Entity-Agnostic Representation Learning,"Generating informative and appropriate responses is challenging but important for building
human-like dialogue systems. Although various knowledge-grounded conversation models …",2회 인용
342,MIA 2022 Shared Task: Evaluating Cross-lingual Open-Retrieval Question Answering for 16 Diverse Languages,"We present the results of the Workshop on Multilingual Information Access (MIA) 2022
Shared Task, evaluating cross-lingual open-retrieval question answering (QA) systems in 16 …",전체 6개의 버전
343,Knowledge-Grounded Dialogue with Reward-Driven Knowledge Selection,"Abstract Knowledge-grounded dialogue is a task of generating a fluent and informative
response based on both conversation context and a collection of external knowledge, in …",관련 학술자료
344,Robust Conversational Agents against Imperceptible Toxicity Triggers,"Warning: this paper contains content that maybe offensive or upsetting. Recent research in
Natural Language Processing (NLP) has advanced the development of various toxicity …",관련 학술자료
345,[PDF] The Gutenberg Dialog Dataset for Neural Conversational Modeling,"We create a new, large, high-quality dataset for neural dialog modeling, and explore its
benefits over existing datasets. A dialog agent (chatbot) is a software that communicates …",관련 학술자료
346,"Faithfulness in Natural Language Generation: A Systematic Survey of Analysis, Evaluation and Optimization Methods","Natural Language Generation (NLG) has made great progress in recent years due to the
development of deep learning techniques such as pre-trained language models. This …",관련 학술자료
347,[PDF] Towards Efficient Natural Language Generation,"Natural language generation (NLG) has seen remarkable success benefiting from the
development of deep learning techniques. As large-scale pretraining becomes the de-facto …",
348,ProsocialDialog: A Prosocial Backbone for Conversational Agents,"Most existing dialogue systems fail to respond properly to potentially unsafe user utterances
by either ignoring or passively agreeing with them. To address this issue, we introduce …",관련 학술자료
349,Building a Dialogue Corpus Annotated with Expressed and Experienced Emotions,"In communication, a human would recognize the emotion of an interlocutor and respond
with an appropriate emotion, such as empathy and comfort. Toward developing a dialogue …",관련 학술자료
350,"Empirical study on BlenderBot 2.0 Errors Analysis in terms of Model, Data and User-Centric Approach","BlenderBot 2.0 is a dialogue model that represents open-domain chatbots by reflecting real-
time information and remembering user information for an extended period using an internet …",관련 학술자료
351,[HTML] Query Generation with External Knowledge for Dense Retrieval,"Dense retrieval aims at searching for the most relevant documents to the given query by
encoding texts in the embedding space, requiring a large amount of query-document pairs …",관련 학술자료
352,A Survey on Retrieval-Augmented Text Generation,"Recently, retrieval-augmented text generation attracted increasing attention of the
computational linguistics community. Compared with conventional generation models …",관련 학술자료
353,[HTML] Construction of Hierarchical Structured Knowledge-based Recommendation Dialogue Dataset and Dialogue System,"We work on a recommendation dialogue system to help a user understand the appealing
points of some target (eg, a movie). In such dialogues, the recommendation system needs to …",관련 학술자료
354,Unstructured Text Enhanced Open-Domain Dialogue System: A Systematic Survey,"Incorporating external knowledge into dialogue generation has been proven to benefit the
performance of an open-domain Dialogue System (DS), such as generating informative or …",1회 인용
355,Combining Impression Feature Representation for Multi-turn Conversational Question Answering,"Abstract Multi-turn conversational Question Answering (ConvQA) is a practical task that
requires the understanding of conversation history, such as previous QA pairs, the passage …",관련 학술자료
356,[PDF] Multi-Task Retrieval-Augmented Text Generation with Relevance Sampling,"This paper studies multi-task training of retrievalaugmented generation models for
knowledgeintensive tasks. We propose to clean the training set by utilizing a distinct …",전체 4개의 버전
357,Tracking Context in Conversational Search: From Utterances to Neural Embeddings,"The use of conversational assistants is becoming increasingly more popular among the
general public, pushing the research towards more advanced and sophisticated techniques …",관련 학술자료
358,INSCIT: Information-Seeking Conversations with Mixed-Initiative Interactions,"In an information-seeking conversation, a user converses with an agent to ask a series of
questions that can often be under-or over-specified. An ideal agent would first identify that …",전체 4개의 버전
359,Improving knowledge-based dialogue generation through two-stage knowledge selection and knowledge selection-guided pointer network,"Abstract Existing End-to-End neural models for dialogue generation tend to generate
generic and uninformative responses. Recently, knowledge-based dialogue models have …",관련 학술자료
360,"Converse, Focus and Guess-Towards Multi-Document Driven Dialogue","We propose a novel task, Multi-Document Driven Dialogue (MD3), in which an agent can
guess the target document that the user is interested in by leading a dialogue. To …",관련 학술자료
361,[HTML] An Analysis of State-of-the-Art Models for Situated Interactive MultiModal Conversations (SIMMC),"There is a growing interest in virtual assistants with multimodal capabilities, eg, inferring the
context of a conversation through scene understanding. The recently released situated and …",관련 학술자료
362,[PDF] KILT: a Benchmark for Knowledge Intensive Language Tasks,"Challenging problems such as open-domain question answering, fact checking, slot filling
and entity linking require access to large, external knowledge sources. While some models …",관련 학술자료
363,Knowledge Base Index Compression via Dimensionality and Precision Reduction,"Recently neural network based approaches to knowledge-intensive NLP tasks, such as
question answering, started to rely heavily on the combination of neural retrievers and …",관련 학술자료
364,CAiRE in DialDoc21: Data Augmentation for Information-Seeking Dialogue System,"Information-seeking dialogue systems, including knowledge identification and response
generation, aim to respond to users with fluent, coherent, and informative responses based …",관련 학술자료
365,[HTML] Knowledge-Augmented Methods for Natural Language Processing,"Abstract Knowledge in natural language processing (NLP) has been a rising trend
especially after the advent of large scale pre-trained models. NLP models with attention to …",관련 학술자료
366,Discourse means for maintaining a proper rhetorical flow,"Medical dialogue systems are being developed to serve as “virtual doctors.” These virtual
doctors are aimed to interact with patients via natural dialogues, asking about the medical …",관련 학술자료
367,[HTML] From text to talk: Harnessing conversational corpora for humane and diversity-aware language technology,"Informal social interaction is the primordial home of human language. Linguistically diverse
conversational corpora are an important and largely untapped resource for computational …",2회 인용
368,[PDF] Grounding Language Models on External Sources: A Comparison of Knowledge Graphs and Unstructured Text,"Although massively pretrained transformer networks have improved upon the distributional
coherence of generated text substantially, knowledge intensive tasks like open question …",관련 학술자료
369,"KMIR: A Benchmark for Evaluating Knowledge Memorization, Identification and Reasoning Abilities of Language Models","Previous works show the great potential of pre-trained language models (PLMs) for storing a
large amount of factual knowledge. However, to figure out whether PLMs can be reliable …",관련 학술자료
370,[PDF] Grounded Natural Language Generation via Interpretable Hierarchical Operations,"Much recent work in natural language generation has relied on deep learning, often using
neural networks with soft attention mechanisms to select salient aspects from data and then …",관련 학술자료
371,: Enhance Knowledge Grounded Dialogue via Ground Graph,"Knowledge grounded dialogue system is designed to generate responses that convey
information from given knowledge documents. However, it's a challenge for the current …",관련 학술자료
372,Call for Customized Conversation: Customized Conversation Grounding Persona and Knowledge,"Humans usually have conversations by making use of prior knowledge about a topic and
background information of the people whom they are talking to. However, existing …",관련 학술자료
373,[인용] Utterance Abstraction and Response Diversity for Open-Domain Dialogue Systems,"CiNii 博士論文 - Utterance Abstraction and Response Diversity for Open-Domain Dialogue
Systems CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ] 日本の論文をさがす 大学 …",관련 학술자료
374,Achieving Conversational Goals with Unsupervised Post-hoc Knowledge Injection,"A limitation of current neural dialog models is that they tend to suffer from a lack of specificity
and informativeness in generated responses, primarily due to dependence on training data …",관련 학술자료
375,"Personal Entity, Concept, and Named Entity Linking in Conversations","Building conversational agents that can have natural and knowledge-grounded interactions
with humans requires understanding user utterances. Entity Linking (EL) is an effective and …",전체 2개의 버전
376,WeaSuL: Weakly Supervised Dialogue Policy Learning: Reward Estimation for Multi-turn Dialogue,"An intelligent dialogue system in a multi-turn setting should not only generate the responses
which are of good quality, but it should also generate the responses which can lead to long …",관련 학술자료
377,[PDF] GODEL: Large-Scale Pre-Training for Goal-Directed Dialog,"Abstract We introduce GODEL(Grounded Open Dialogue Language Model), a large
pretrained language model for dialog. In contrast with earlier models such as DialoGPT …",전체 4개의 버전
378,Modeling contextual information for chit-chat conversation,"The emergence of mobile devices and messaging applications has revolutionized the way
that information propagates among individuals, and triggers the demand of virtual …",관련 학술자료
379,[PDF] RetGen: A Joint framework for Retrieval and Grounded Text Generation Modeling,"Recent advances in large-scale pre-training such as GPT-3 allow seemingly high quality text
to be generated from a given prompt. However, such generation systems often suffer from …",관련 학술자료
380,[PDF] Finding and Fixing Undesirable Behaviors in Pretrained Language Models.,"In machine learning, we often do not know how to specify the desired objective for our
learning algorithms. For example, we typically train models to answer questions correctly by …",관련 학술자료
381,A Dataset for Sentence Retrieval for Open-Ended Dialogues,"We address the task of sentence retrieval for open-ended dialogues. The goal is to retrieve
sentences from a document corpus that contain information useful for generating the next …",관련 학술자료
382,The JDDC 2.0 Corpus: A Large-Scale Multimodal Multi-Turn Chinese Dialogue Dataset for E-commerce Customer Service,"With the development of the Internet, more and more people get accustomed to online
shopping. When communicating with customer service, users may express their …",관련 학술자료
383,A Knowledge Selection Model in Pointer-Generator Dialogue Systems,"Conversation generation is one of the core problems in natural language processing. In this
paper, we present a new model for knowledge grounded conversations. Our model is …",관련 학술자료
384,Characterizing and Resolving Degeneracies in Neural Autoregressive Text Generation,"Autoregressive neural networks have shown great success as part of sequence to sequence
framework solving a diverse set of sequence generation tasks. These tasks include machine …",관련 학술자료
385,[PDF] Controllable Multi-attribute Dialog Generation with PALs and Grounding Knowledge,"Today, neural language models are commonly employed for generation of natural like
responses in dialog systems. The main issue that limits wide adoption of neural generation …",
386,TegTok: Augmenting Text Generation via Task-specific and Open-world Knowledge,"Generating natural and informative texts has been a long-standing problem in NLP. Much
effort has been dedicated into incorporating pre-trained language models (PLMs) with …",관련 학술자료
387,[PDF] Conversational AI as Improvisational Co-Creation-A Dialogic Perspective,"Dialogue is often modeled as an encoder-decoder problem: incoming utterances are
translated into a computational representation of their semantic meaning, passed through a …",
388,Emotion Recognition with Conversational Generation Transfer,"Emotion recognition in conversation is one of the essential tasks of natural language
processing. However, this task's annotation data is insufficient since such data is hard to …",관련 학술자료
389,Instilling Type Knowledge in Language Models via Multi-Task QA,"Understanding human language often necessitates understanding entities and their place in
a taxonomy of knowledge--their types. Previous methods to learn entity types rely on training …",관련 학술자료
390,Deep Latent-Variable Models for Text Generation,"Text generation aims to produce human-like natural language output for down-stream tasks.
It covers a wide range of applications like machine translation, document summarization …",관련 학술자료
391,[PDF] A Knowledge-Based Conversation System for Robots and Smart Assistants,"A Knowledge-Based Conversation System for Robots and Smart Assistants Page 1 A
Knowledge-Based Conversation System for Robots and Smart Assistants Lucrezia Grassi …",관련 학술자료
392,Rethinking and Refining the Distinct Metric,"Distinct is a widely used automatic metric for evaluating the diversity of language generation
tasks. However, we observe that the original approach to calculating distinct scores has …",관련 학술자료
393,AIS Electronic Library (AISeL),"This paper presents a dynamic perturbation grasshopper optimization algorithm for
engineering design problems. Three effective strategies were proposed to avoid the …",관련 학술자료
394,Pan More Gold from the Sand: Refining Open-domain Dialogue Training with Noisy Self-Retrieval Generation,"Real human conversation data are complicated, heterogeneous, and noisy, from whom
building open-domain dialogue systems remains a challenging task. In fact, such dialogue …",관련 학술자료
395,Improving Dialogue Generation via Proactively Querying Grounded Knowledge,"Recent advances in pre-trained language models have significantly improved neural
response generation. Further, an intelligent dialogue system should be able to give accurate …",관련 학술자료
396,Grounding in social media: An approach to building a chit-chat dialogue model,"Building open-domain dialogue systems capable of rich human-like conversational ability is
one of the fundamental challenges in language generation. However, even with recent …",관련 학술자료
397,[HTML] PLATO-KAG: Unsupervised Knowledge-Grounded Conversation via Joint Modeling,"Large-scale conversation models are turning to leveraging external knowledge to improve
the factual accuracy in response generation. Considering the infeasibility to annotate the …",관련 학술자료
398,Towards Adapting Cognitive Architectures for Knowledgeable & Personalized Dialogue Systems,"State-of-the-art conversational agents have advanced significantly in conjunction with the
use of large transformer-based language models. However, even with these rapid …",관련 학술자료
399,[PDF] MVP: Multi-task Supervised Pre-training for Natural Language Generation,"Pre-trained language models (PLMs) have achieved notable success in natural language
generation (NLG) tasks. Up to now, most of the PLMs are pre-trained in an unsupervised …",전체 2개의 버전
400,[PDF] Controllable Text Generation,"Controllable Text Generation And Ethical Implications Page 1 Controllable Text Generation And
Ethical Implications Shrimai Prabhumoye CMU-LTI-21-001 May 2021 Language Technologies …",관련 학술자료
401,ConvSearch: A Open-Domain Conversational Search Behavior Dataset,"Conversational Search has been paid much attention recently with the increasing popularity
of intelligent user interfaces. However, compared with the endeavour in designing effective …",관련 학술자료
402,Exploiting Pairwise Mutual Information for Knowledge-Grounded Dialogue,"External document knowledge is helpful for dialogue systems to generate high-quality
responses. Although several knowledge-grounded dialogue models have been designed …",관련 학술자료
403,[HTML] MTL-DAS: Automatic Text Summarization for Domain Adaptation,"Domain adaptation on text summarization task is always challenging, which is caused by the
lack of annotated data in the target domain. Previous methodologies focused more on …",전체 8개의 버전
404,[HTML] ProphetChat: Enhancing Dialogue Generation with Simulation of Future Conversation,"Typical generative dialogue models utilize the dialogue history to generate the response.
However, since one dialogue utterance can often be appropriately answered by multiple …",관련 학술자료
405,Coherent Dialog Generation with Query Graph,"Learning to generate coherent and informative dialogs is an enduring challenge for open-
domain conversation generation. Previous work leverage knowledge graph or documents to …",관련 학술자료
406,[PDF] Injecting Designers' Knowledge in Conversational Neural Network Systems.,"Sequence-to-sequence neural networks are redesigning dialog managers for
Conversational AI in industries. However, industrial applications impose two important …",관련 학술자료
407,Evaluating Machine Intelligence With Question Answering,"Humans ask questions to learn about the world and to test knowledge understanding. The
ability to ask questions combines aspects of intelligence unique to humans: language …",관련 학술자료
408,[HTML] KSAM: Infusing Multi-Source Knowledge into Dialogue Generation via Knowledge Source Aware Multi-Head Decoding,"Abstract Knowledge-enhanced methods have bridged the gap between human beings and
machines in generating dialogue responses. However, most previous works solely seek …",관련 학술자료
409,SINC: Service Information Augmented Open-Domain Conversation,"Generative open-domain dialogue systems can benefit from external knowledge, but the
lack of external knowledge resources and the difficulty in finding relevant knowledge limit …",전체 2개의 버전
410,[PDF] Knowledge-Consistent Dialogue Generation with Knowledge Graphs,"We propose a framework for generating knowledge consistent and context-relevant
dialogues with a knowledge graph (KG), named SUbgraph Retrieval-augmented …",
411,Open domain interviewing agent,"Interviewing is an essential process in various domains, including human resource
management, medical diagnosis, news interview. Interviewing can be broadly de ned as an …",
412,OPERA: Harmonizing Task-Oriented Dialogs and Information Seeking Experience,"Existing studies in conversational AI mostly treat task-oriented dialog (TOD) and question
answering (QA) as separate tasks. Towards the goal of constructing a conversational agent …",전체 2개의 버전
413,[HTML] Improving Multiple Documents Grounded Goal-Oriented Dialog Systems via Diverse Knowledge Enhanced Pretrained Language Model,"In this paper, we mainly discuss about our submission to MultiDoc2Dial task, which aims to
model the goal-oriented dialogues grounded in multiple documents. The proposed task is …",관련 학술자료
414,Open-domain conversational search assistants: the Transformer is all you need,"On the quest of providing a more natural interaction between users and search systems,
open-domain conversational search assistants have emerged, by assisting users in …",관련 학술자료
415,An Antinoise Response Generation for Open Domain Dialogue System,"In order to reduce the noise interference on the response generation model, this paper
proposes an antinoise model based on encoder-decoder architecture. Firstly, simulation …",관련 학술자료
416,"[PDF] Towards Knowledge-capable AI: Agents that See, Speak, Act and Know","The field of artificial intelligence has been interested in knowledge since its early days, using
carefully crafted rules and curated knowledge from humans to build effective expert systems …",관련 학술자료
417,A Sentence is Worth 128 Pseudo Tokens: A Semantic-Aware Contrastive Learning Framework for Sentence Embeddings,"Contrastive learning has shown great potential in unsupervised sentence embedding tasks,
eg, SimCSE. However, We find that these existing solutions are heavily affected by …",관련 학술자료
418,Medical Dialogue Response Generation with Pivotal Information Recalling,"Medical dialogue generation is an important yet challenging task. Most previous works rely
on the attention mechanism and large-scale pretrained language models. However, these …",전체 2개의 버전
419,Chinese Entity Linking with Two-stage Pre-training Transformer Encoders,"To solve the Chinese entity linking problem, this paper employs a two-stage deep pre-
training transformer model. The model is broken down into two stages. The first stage …",관련 학술자료
420,Decomposing Mutual Information for Representation Learning,"Many self-supervised representation learning methods maximize mutual information (MI)
across views. In this paper, we transform each view into a set of subviews and then …",관련 학술자료
421,[인용] Learning to Speak and Act in a Fantasy Text Adventure Game,,관련 학술자료
422,Classification as Decoder: Trading Flexibility for Control in Multi Domain Dialogue,"Generative seq2seq dialogue systems are trained to predict the next word in dialogues that
have already occurred. They can learn from large unlabeled conversation datasets, build a …",관련 학술자료
423,Towards Open-domain Vision and Language Understanding with Wikimedia,"Current state-of-the-art task-agnostic visio-linguistic approaches, such as ViLBERT [2], are
limited to domains in which texts have a visual materialization (eg a person running). This …",관련 학술자료
424,[PDF] One-turn Topic Transitions for Open-Domain Dialogue,"Mixed initiative in open-domain dialogue requires a system to pro-actively introduce new
topics. The one-turn topic transition task explores how a system connects two topics in a …",관련 학술자료
425,Cross-Probe BERT for Fast Cross-Modal Search,"Owing to the effectiveness of cross-modal attentions, text-vision BERT models have
achieved excellent performance in text-image retrieval. Nevertheless, cross-modal …",
426,Response Quality in Human-chatbot Collaborative Systems,"We study human-chatbot collaborative conversation systems that enable humans to
leverage AI chatbot outputs during an online conversation with others. We evaluate …",관련 학술자료
427,Improving Zero and Few-shot Generalization in Dialogue through Instruction Tuning,"Instruction tuning is an emergent paradigm in NLP wherein natural language instructions
are leveraged with language models to induce zero-shot performance on unseen tasks …",2회 인용
428,[HTML] Stylistic Response Generation by Controlling Personality Traits and Intent,"Personality traits influence human actions and thoughts, which is manifested in day to day
conversations. Although glimpses of personality traits are observable in existing open …",관련 학술자료
429,Low-Resource Adaptation of Open-Domain Generative Chatbots,"Recent work building open-domain chatbots has demonstrated that increasing model size
improves performance. On the other hand, latency and connectivity considerations dictate …",관련 학술자료
430,Generating Related Work,"Communicating new research ideas involves highlighting similarities and differences with
past work. Authors write fluent, often long sections to survey the distinction of a new paper …",1회 인용
431,Improving Conversation Quality of Data-driven Dialog Systems and Applications in Conversational Question Answering,"Thanks to advancements in deep learning, we can efficiently train Nerual Generation
models on massive conversational datasets on the web to learn open-domain dialogue …",관련 학술자료
432,[PDF] AI Open,"Recent years have witnessed a surge of interest in the field of open-domain dialogue.
Thanks to the rapid development of social media, large dialogue corpus from the Internet …",
433,"[HTML] Open-domain Dialogue Generation: What We Can Do, Cannot Do, And Should Do Next","Human–computer conversation has long been an interest of artificial intelligence and
natural language processing research. Recent years have seen a dramatic improvement in …",관련 학술자료
434,[PDF] Collection and Analysis of Travel Agency Task Dialogues with Age-Diverse Speakers,"When individuals communicate with each other, they use different vocabulary, speaking
speed, facial expressions, and body language depending on the people they talk to. This …",
435,Learning as Conversation: Dialogue Systems Reinforced for Information Acquisition,"We propose novel AI-empowered chat bots for learning as conversation where a user does
not read a passage but gains information and knowledge through conversation with a …",1회 인용
436,Evaluating Machine Intelligence with Question Answering,"Humans ask questions to learn about the world and to test knowledge understanding. The
ability to ask questions combines aspects of intelligence unique to humans: language …",관련 학술자료
437,Adapting Document-Grounded Dialog Systems to Spoken Conversations using Data Augmentation and a Noisy Channel Model,"This paper summarizes our submission to Task 2 of the second track of the 10th Dialog
System Technology Challenge (DSTC10)"" Knowledge-grounded Task-oriented Dialogue …",관련 학술자료
438,Research on Improved Intelligent Generative Dialogue Algorithm Based on Knowledge Graph,"The rise of a new generation of artificial intelligence technology, represented by deep
learning, has promoted the vigorous development of natural language processing …",관련 학술자료
439,Mental Health Assessment for the Chatbots,"Previous researches on dialogue system assessment usually focus on the quality evaluation
(eg fluency, relevance, etc) of responses generated by the chatbots, which are local and …",관련 학술자료
440,"Language Generation for Broad-Coverage, Explainable Cognitive Systems","This paper describes recent progress on natural language generation (NLG) for language-
endowed intelligent agents (LEIAs) developed within the OntoAgent cognitive architecture …",관련 학술자료
441,[책] Natural Language Processing and Chinese Computing,"This two-volume set of LNAI 13028 and LNAI 13029 constitutes the refereed proceedings of
the 10th CCF Conference on Natural Language Processing and Chinese Computing …",1회 인용
442,Know Deeper: Knowledge-Conversation Cyclic Utilization Mechanism for Open-domain Dialogue Generation,"End-to-End intelligent neural dialogue systems suffer from the problems of generating
inconsistent and repetitive responses. Existing dialogue models pay attention to unilaterally …",관련 학술자료
443,"Great Expectations: Unsupervised Inference of Suspense, Surprise and Salience in Storytelling","Stories interest us not because they are a sequence of mundane and predictable events but
because they have drama and tension. Crucial to creating dramatic and exciting stories are …",전체 3개의 버전
444,[PDF] Evaluating Sampling-based Filler Insertion with Spontaneous TTS,"Inserting fillers (such as “um”,“like”) to clean speech text has a rich history of study. One
major application is to make dialogue systems sound more spontaneous. The ambiguity of …",전체 2개의 버전
445,How do people talk about images? A study on open-domain conversations with images.,"This paper explores how humans conduct conversations with images by investigating an
open-domain image conversation dataset, ImageChat. We examined the conversations with …",전체 2개의 버전
446,Knowing What to Say: Towards knowledge grounded code-mixed response generation for open-domain conversations,"Inculcating knowledge in the dialogue agents is an important step towards creating any
agent more human-like. Hence, the use of knowledge while conversing is crucial for building …",관련 학술자료
447,BERT Embeddings Can Track Context in Conversational Search,"The use of conversational assistants to search for information is becoming increasingly more
popular among the general public, pushing the research towards more advanced and …",관련 학술자료
448,Attentive Knowledge Selection Model for Knowledge-Grounded Multi-turn Dialogue System,"지식 기반 다중 대화 시스템은 지식 정보를 포함한 응답을 생성하는 대화 시스템이다. 이
시스템은 응답 생성에 필요한 지식 정보를 찾아내는 지식 선택 작업과 찾아낸 지식 정보를 …",관련 학술자료
449,A Simple Contrastive Learning Objective for Alleviating Neural Text Degeneration,"The cross-entropy objective has proved to be an all-purpose training objective for
autoregressive language models (LMs). However, without considering the penalization of …",관련 학술자료
450,Trends in Deep-neural-network-based Dialogue Systems,"In this study, we introduce trends in neural-network-based deep learning research applied to
dialogue systems. Recently, end-to-end trainable goal-oriented dialogue systems using long …",관련 학술자료
451,[PDF] CAMPUS DI CESENA,"ALMA MATER STUDIORUM – UNIVERSITÀ DI BOLOGNA CAMPUS DI CESENA Scuola di
Scienze Corso di Laurea in Ingegneria e Scienze Infor Page 1 ALMA MATER STUDIORUM …",관련 학술자료
452,Natural language generation for intelligent tutoring systems,"This project tackles the problem of automatically generating text for a conversational
intelligent tutoring system (ITS). The conversational ITS gives questions to the student and …",전체 2개의 버전
